Rank;Polish;Croatian;PartOfSpeech;Grammar;ExampleCroatian;ExamplePolish;FalseFriend;FalseFriendNote;Tags;AcceptedAnswers
1352;tymczasowy;privremen;adjective;ž. privremena;Rješenje je privremeno.;Rozwiązanie jest tymczasowe.;NO;;HR_1001_1500 adjective work;[]
1353;na pełny etat;puno radno vrijeme;phrase;;Radim puno radno vrijeme.;Pracuję na pełny etat.;NO;;HR_1001_1500 work;[]
1354;na pół etatu;pola radnog vremena;phrase;;Radi pola radnog vremena.;Pracuje na pół etatu.;NO;;HR_1001_1500 work;[]
1355;praca zdalna;rad od doma;noun;rodzaj męski;Rad od doma mi odgovara.;Praca zdalna mi odpowiada.;NO;;HR_1001_1500 noun work;[]
1356;odpowiadać (pasować);odgovarati;verb;3. os.: odgovara - komu: dat.;Odgovara li ti petak?;Odpowiada ci piątek?;NO;;HR_1001_1500 verb work;[]
1357;pasować (o ubraniu);pristajati;verb;3. os.: pristaje - komu: dat.;Ta boja ti dobro pristaje.;Ten kolor ci dobrze pasuje.;NO;;HR_1001_1500 verb shopping;[]
1358;kolejny;sljedeći;adjective;ž. sljedeća;Sljedeći korak je potpis.;Kolejny krok to podpis.;NO;;HR_1001_1500 adjective work;[]
1359;poprzedni;prethodni;adjective;ž. prethodna;Prethodni šef je bio stroži.;Poprzedni szef był surowszy.;NO;;HR_1001_1500 adjective work;[]
1360;surowy (wymagający);strog;adjective;ž. stroga - komp. stroži;Profesor je strog ali pravedan.;Profesor jest surowy ale sprawiedliwy.;NO;;HR_1001_1500 adjective people;[]
1361;łagodny;blag;adjective;ž. blaga;Zima je bila blaga.;Zima była łagodna.;NO;;HR_1001_1500 adjective;[]
1362;cierpliwy;strpljiv;adjective;ž. strpljiva;Budi strpljiv još malo.;Bądź cierpliwy jeszcze chwilę.;NO;;HR_1001_1500 adjective people;[]
1363;niecierpliwy;nestrpljiv;adjective;ž. nestrpljiva;Djeca su nestrpljiva.;Dzieci są niecierpliwe.;NO;;HR_1001_1500 adjective people;[]
1364;uparty;tvrdoglav;adjective;ž. tvrdoglava;Tvrdoglav je kao njegov otac.;Uparty jest jak jego ojciec.;NO;;HR_1001_1500 adjective people;[]
1365;skromny;skroman;adjective;ž. skromna;Iako je uspješan ostao je skroman.;Choć odniósł sukces został skromny.;NO;;HR_1001_1500 adjective people;[]
1366;dumny;ponosan;adjective;ž. ponosna - na koga;Ponosan sam na tebe.;Jestem z ciebie dumny.;NO;;HR_1001_1500 adjective emotions;[]
1367;wdzięczny;zahvalan;adjective;ž. zahvalna;Zahvalan sam ti na svemu.;Jestem ci wdzięczny za wszystko.;NO;;HR_1001_1500 adjective emotions;[]
1368;zawiedziony;razočaran;adjective;ž. razočarana;Razočaran sam odlukom.;Jestem zawiedziony decyzją.;NO;;HR_1001_1500 adjective emotions;[]
1369;rozczarowanie;razočaranje;noun;rodzaj nijaki;Bilo je to veliko razočaranje.;To było duże rozczarowanie.;NO;;HR_1001_1500 noun emotions;[]
1370;nadzieja na coś;nada u nešto;phrase;nada + u + ak.;Imam nadu u bolje vrijeme.;Mam nadzieję na lepszą pogodę.;NO;;HR_1001_1500 emotions;[]
1371;mieć nadzieję;nadati se;verb;1. os.: nadam se + da;Nadam se da ćeš doći.;Mam nadzieję że przyjdziesz.;NO;;HR_1001_1500 verb emotions;[]
1372;marzyć;sanjati;verb;1. os.: sanjam - znaczy też śnić;Sanjam o kući na otoku.;Marzę o domu na wyspie.;NO;;HR_1001_1500 verb emotions;[]
1373;marzenie;san;noun;rodzaj męski - gen. sna - znaczy też sen;To mi je bio san godinama.;To było moje marzenie od lat.;NO;;HR_1001_1500 noun emotions;[]
1374;plan na przyszłość;plan za budućnost;noun;budućnost przyszłość;Nemam plan za budućnost.;Nie mam planu na przyszłość.;NO;;HR_1001_1500 noun work;[]
1375;przyszłość;budućnost;noun;rodzaj żeński - gen. budućnosti;Budućnost je nesigurna.;Przyszłość jest niepewna.;NO;;HR_1001_1500 noun;[]
1376;przeszłość;prošlost;noun;rodzaj żeński - gen. prošlosti;O prošlosti ne govori.;O przeszłości nie mówi.;NO;;HR_1001_1500 noun;[]
1377;teraźniejszość;sadašnjost;noun;rodzaj żeński;Živi u sadašnjosti.;Żyje w teraźniejszości.;NO;;HR_1001_1500 noun;[]
1378;niepewny;nesiguran;adjective;ž. nesigurna;Nesiguran sam u odluku.;Jestem niepewny decyzji.;NO;;HR_1001_1500 adjective emotions;[]
1379;spodziewać się dziecka;čekati dijete;phrase;;Čekaju drugo dijete.;Spodziewają się drugiego dziecka.;NO;;HR_1001_1500 people;[]
1380;ciąża;trudnoća;noun;rodzaj żeński;Trudnoća je prošla dobro.;Ciąża przeszła dobrze.;NO;;HR_1001_1500 noun people;[]
1381;urodzić się;roditi se;verb;1. os.: rodim se;Rodio sam se u Krakovu.;Urodziłem się w Krakowie.;NO;;HR_1001_1500 verb people;[]
1382;dorosły;odrasla osoba;noun;też przymiotnik: odrastao;Dvije odrasle osobe i dijete.;Dwie osoby dorosłe i dziecko.;NO;;HR_1001_1500 noun people;[]
1383;nastolatek;tinejdžer;noun;rodzaj męski;Tinejdžeri su cijeli dan na mobitelu.;Nastolatki są cały dzień na telefonie.;NO;;HR_1001_1500 noun people;[]
1384;starszy człowiek;starija osoba;noun;;Starijim osobama je vrućina teška.;Starszym osobom upał jest ciężki.;NO;;HR_1001_1500 noun people;[]
1385;pokolenie;generacija;noun;rodzaj żeński;Naša generacija je drukčija.;Nasze pokolenie jest inne.;NO;;HR_1001_1500 noun people;[]
1386;inny (odmienny);drukčiji;adjective;ž. drukčija - też: drugačiji;Ovo je drukčiji pristup.;To inne podejście.;NO;;HR_1001_1500 adjective;"[""drugačiji""]"
1387;podejście;pristup;noun;rodzaj męski - znaczy też dostęp;Pristup je bio pogrešan.;Podejście było błędne.;NO;;HR_1001_1500 noun work;[]
1388;błędny;pogrešan;adjective;ž. pogrešna;Dao mi je pogrešan broj.;Dał mi błędny numer.;NO;;HR_1001_1500 adjective;[]
1389;poprawny;pravilan;adjective;ž. pravilna;To nije pravilan izgovor.;To nie jest poprawna wymowa.;NO;;HR_1001_1500 adjective conversation;[]
1390;wymowa;izgovor;noun;rodzaj męski;Izgovor mi je najteži.;Wymowa jest dla mnie najtrudniejsza.;NO;;HR_1001_1500 noun conversation;[]
1391;akcent;akcent;noun;rodzaj męski - też: naglasak;Imaš lijep akcent.;Masz ładny akcent.;NO;;HR_1001_1500 noun conversation;"[""naglasak""]"
1392;gramatyka;gramatika;noun;rodzaj żeński;Gramatika je logična.;Gramatyka jest logiczna.;NO;;HR_1001_1500 noun;[]
1393;słownik;rječnik;noun;rodzaj męski - mn. rječnici;Provjeri u rječniku.;Sprawdź w słowniku.;NO;;HR_1001_1500 noun;[]
1394;zdanie (gramatyczne);rečenica;noun;rodzaj żeński;Napiši cijelu rečenicu.;Napisz całe zdanie.;NO;;HR_1001_1500 noun conversation;[]
1395;znaczenie;značenje;noun;rodzaj nijaki;Ne znam značenje te riječi.;Nie znam znaczenia tego słowa.;NO;;HR_1001_1500 noun conversation;[]
1396;znaczyć;značiti;verb;3. os.: znači;Što znači ta riječ?;Co znaczy to słowo?;NO;;HR_1001_1500 verb conversation;[]
1397;tłumaczenie;prijevod;noun;rodzaj męski - nie prevod;Prijevod nije točan.;Tłumaczenie nie jest dokładne.;NO;;HR_1001_1500 noun work;[]
1398;błąd językowy;jezična greška;noun;rodzaj żeński;Napravio sam jezičnu grešku.;Popełniłem błąd językowy.;NO;;HR_1001_1500 noun;[]
1399;poprawić (błąd);ispraviti;verb;1. os.: ispravim;Ispravi me ako pogriješim.;Popraw mnie jak się pomylę.;NO;;HR_1001_1500 verb conversation;[]
1400;mylić się;griješiti;verb;"niedokonany; 1. os.: griješim";Možda ja griješim.;Może ja się mylę.;NO;;HR_1001_1500 verb conversation;[]
1401;pomyłka;zabuna;noun;rodzaj żeński;Došlo je do zabune s rezervacijom.;Doszło do pomyłki z rezerwacją.;NO;;HR_1001_1500 noun travel;[]
1402;celowo;namjerno;adverb;;Nisam to učinio namjerno.;Nie zrobiłem tego celowo.;NO;;HR_1001_1500 adverb;[]
1403;przypadkiem;slučajno;adverb;;Slučajno sam ga sreo u gradu.;Przypadkiem spotkałem go w mieście.;NO;;HR_1001_1500 adverb;[]
1404;spotkać (kogoś);sresti;verb;1. os.: sretnem;Sreo sam staru prijateljicu.;Spotkałem starą przyjaciółkę.;NO;;HR_1001_1500 verb people;[]
1405;poznać (kogoś);upoznati;verb;1. os.: upoznam;Upoznali smo se na poslu.;Poznaliśmy się w pracy.;NO;;HR_1001_1500 verb people;[]
1406;przedstawić (kogoś);predstaviti;verb;1. os.: predstavim;Predstavit ću ti kolegu.;Przedstawię ci kolegę.;NO;;HR_1001_1500 verb people;[]
1407;miło mi;drago mi je;phrase;przy poznaniu;Drago mi je Marko.;Miło mi Marko.;NO;;HR_1001_1500 conversation;[]
1408;czuć się swobodnie;osjećati se opušteno;phrase;opušten rozluźniony;Osjećam se opušteno s njima.;Czuję się z nimi swobodnie.;NO;;HR_1001_1500 emotions;[]
1409;zrelaksowany;opušten;adjective;ž. opuštena;Nakon odmora sam opušten.;Po urlopie jestem zrelaksowany.;NO;;HR_1001_1500 adjective emotions;[]
1410;napięty (spięty);napet;adjective;ž. napeta;Atmosfera je bila napeta.;Atmosfera była napięta.;NO;;HR_1001_1500 adjective emotions;[]
1411;atmosfera;atmosfera;noun;rodzaj żeński - też: ugođaj;Atmosfera u kafiću je ugodna.;Atmosfera w kawiarni jest przyjemna.;NO;;HR_1001_1500 noun;"[""ugođaj""]"
1412;przyjemny;ugodan;adjective;ž. ugodna;Bila je to ugodna večer.;To był przyjemny wieczór.;NO;;HR_1001_1500 adjective emotions;[]
1413;nieprzyjemny;neugodan;adjective;ž. neugodna;Bilo mi je neugodno pitati.;Było mi niezręcznie pytać.;NO;;HR_1001_1500 adjective emotions;[]
1414;głupio mi;neugodno mi je;phrase;;Neugodno mi je zbog jučer.;Głupio mi z powodu wczoraj.;NO;;HR_1001_1500 emotions;[]
1415;przeprosić za spóźnienie;ispričati se zbog kašnjenja;phrase;ispričati se - ispričam se;Ispričavam se zbog kašnjenja.;Przepraszam za spóźnienie.;NO;;HR_1001_1500 conversation;[]
1416;wypada (należy);pristojno je;phrase;pristojan przyzwoity;Pristojno je javiti se.;Wypada dać znać.;NO;;HR_1001_1500 conversation;[]
1417;uprzejmy;pristojan;adjective;ž. pristojna;Bio je pristojan prema svima.;Był uprzejmy wobec wszystkich.;NO;;HR_1001_1500 adjective people;[]
1418;niegrzeczny;bezobrazan;adjective;ž. bezobrazna;Njegov odgovor je bio bezobrazan.;Jego odpowiedź była niegrzeczna.;NO;;HR_1001_1500 adjective people;[]
1419;wobec;prema;preposition;+ dativ;Bio je fer prema meni.;Był wobec mnie fair.;NO;;HR_1001_1500 preposition;[]
1420;szanować;poštovati;verb;1. os.: poštujem;Poštujem tvoju odluku.;Szanuję twoją decyzję.;NO;;HR_1001_1500 verb emotions;[]
1421;szacunek;poštovanje;noun;rodzaj nijaki - w listach: s poštovanjem;S poštovanjem vaš Marko.;Z poważaniem wasz Marko.;NO;;HR_1001_1500 noun work;[]
1422;pozdrawiam (w mailu);lijep pozdrav;phrase;;Lijep pozdrav iz Zagreba.;Pozdrawiam z Zagrzebia.;NO;;HR_1001_1500 work conversation;[]
1423;załącznik;privitak;noun;rodzaj męski - gen. privitka;U privitku šaljem ponudu.;W załączniku wysyłam ofertę.;NO;;HR_1001_1500 noun work;[]
1424;odpowiedź mailowa;odgovor na mail;phrase;;Čekam odgovor na mail.;Czekam na odpowiedź mailową.;NO;;HR_1001_1500 work;[]
1425;pilnie;hitno;adverb;;Trebam to hitno.;Potrzebuję tego pilnie.;NO;;HR_1001_1500 adverb work;[]
1426;spokojnie (bez nerwów);smireno;adverb;;Reagirao je smireno.;Zareagował spokojnie.;NO;;HR_1001_1500 adverb emotions;[]
1427;reagować;reagirati;verb;1. os.: reagiram - nie reagovati;Kako da reagiram na to?;Jak mam na to zareagować?;NO;;HR_1001_1500 verb;[]
1428;reakcja;reakcija;noun;rodzaj żeński;Reakcija je bila pretjerana.;Reakcja była przesadzona.;NO;;HR_1001_1500 noun emotions;[]
1429;przesadzać;pretjerivati;verb;1. os.: pretjerujem;Ne pretjeruj s tim.;Nie przesadzaj z tym.;NO;;HR_1001_1500 verb conversation;[]
1430;żartobliwie;u šali;phrase;;Rekao je to u šali.;Powiedział to żartobliwie.;NO;;HR_1001_1500 conversation;[]
1431;poważnie;ozbiljno;adverb;;Misliš li to ozbiljno?;Mówisz to poważnie?;NO;;HR_1001_1500 adverb conversation;[]
1432;doradzać;savjetovati;verb;1. os.: savjetujem - komu: dat.;Savjetujem ti da pričekaš.;Radzę ci żebyś poczekał.;NO;;HR_1001_1500 verb conversation;[]
1433;ostrzec;upozoriti;verb;1. os.: upozorim - na što;Upozorio sam te na to.;Ostrzegłem cię przed tym.;NO;;HR_1001_1500 verb conversation;[]
1434;ostrzeżenie;upozorenje;noun;rodzaj nijaki;Dobili smo upozorenje o nevremenu.;Dostaliśmy ostrzeżenie o burzy.;NO;;HR_1001_1500 noun media;[]
1435;ryzyko;rizik;noun;rodzaj męski - mn. rizici;Rizik je prevelik.;Ryzyko jest za duże.;NO;;HR_1001_1500 noun work;[]
1436;ryzykować;riskirati;verb;1. os.: riskiram;Ne želim riskirati.;Nie chcę ryzykować.;NO;;HR_1001_1500 verb work;[]
1437;szansa;šansa;noun;rodzaj żeński - też: prilika;Imamo dobru šansu.;Mamy dobrą szansę.;NO;;HR_1001_1500 noun work;"[""prilika""]"
1438;okazja;prilika;noun;rodzaj żeński;Ovo je prilika za nas.;To okazja dla nas.;NO;;HR_1001_1500 noun work;[]
1439;skorzystać z okazji;iskoristiti priliku;phrase;iskoristiti - iskoristim;Iskoristi priliku dok možeš.;Skorzystaj z okazji póki możesz.;NO;;HR_1001_1500 work;[]
1440;używać;koristiti;verb;1. os.: koristim;Koristim aplikaciju za karte.;Używam aplikacji do biletów.;NO;;HR_1001_1500 verb;[]
1441;przydatny;koristan;adjective;ž. korisna;Ovaj savjet je koristan.;Ta rada jest przydatna.;NO;;HR_1001_1500 adjective;[]
1442;bezużyteczny;beskoristan;adjective;ž. beskorisna;Ovaj alat je beskoristan.;To narzędzie jest bezużyteczne.;NO;;HR_1001_1500 adjective;[]
1443;potrzeba;potreba;noun;rodzaj żeński;Nema potrebe za žurbom.;Nie ma potrzeby pośpiechu.;NO;;HR_1001_1500 noun;[]
1444;wymagać;zahtijevati;verb;1. os.: zahtijevam;Posao zahtijeva strpljenje.;Praca wymaga cierpliwości.;NO;;HR_1001_1500 verb work;[]
1445;cierpliwość;strpljenje;noun;rodzaj nijaki;Za ovo treba strpljenja.;Do tego trzeba cierpliwości.;NO;;HR_1001_1500 noun emotions;[]
1446;wytrzymać;izdržati;verb;1. os.: izdržim;Ne mogu više izdržati vrućinu.;Nie mogę już wytrzymać upału.;NO;;HR_1001_1500 verb emotions;[]
1447;zrezygnować;odustati;verb;1. os.: odustanem - od čega;Odustao je od plana.;Zrezygnował z planu.;NO;;HR_1001_1500 verb;[]
1448;kontynuować;nastavljati;verb;"niedokonany; 1. os.: nastavljam";Nastavljamo sutra ujutro.;Kontynuujemy jutro rano.;NO;;HR_1001_1500 verb work;[]
1449;przerywać;prekidati;verb;"niedokonany; 1. os.: prekidam";Oprosti što prekidam.;Przepraszam że przerywam.;NO;;HR_1001_1500 verb conversation;[]
1450;przerwa;pauza;noun;rodzaj żeński - też: stanka;Idemo na kratku pauzu.;Idziemy na krótką przerwę.;NO;;HR_1001_1500 noun work;"[""stanka""]"
1451;odpocząć chwilę;predahnuti;verb;1. os.: predahnem;Predahnimo pet minuta.;Odpocznijmy pięć minut.;NO;;HR_1001_1500 verb;[]
1452;wysiłek fizyczny;napor;noun;rodzaj męski;Napor mu je bio prevelik.;Wysiłek był dla niego za duży.;NO;;HR_1001_1500 noun;[]
1453;ciężki (o wadze);težak;adjective;ž. teška;Kofer je pretežak.;Walizka jest za ciężka.;NO;;HR_1001_1500 adjective travel;[]
1454;lekki;lagan;adjective;ž. lagana;Ruksak je lagan.;Plecak jest lekki.;NO;;HR_1001_1500 adjective travel;[]
1455;plecak;ruksak;noun;rodzaj męski;Ponesi ruksak na izlet.;Weź plecak na wycieczkę.;NO;;HR_1001_1500 noun travel;[]
1456;pakować;pakirati;verb;1. os.: pakiram - nie pakovati;Pakiram kofere večeras.;Pakuję walizki wieczorem.;NO;;HR_1001_1500 verb travel;[]
1457;zapomnieć czegoś;zaboraviti nešto;phrase;;Zaboravio sam punjač doma.;Zapomniałem ładowarki w domu.;NO;;HR_1001_1500 travel;[]
1458;zgubić;izgubiti;verb;1. os.: izgubim;Izgubio sam novčanik.;Zgubiłem portfel.;NO;;HR_1001_1500 verb travel;[]
1459;portfel;novčanik;noun;rodzaj męski;Novčanik mi je u torbi.;Portfel mam w torbie.;NO;;HR_1001_1500 noun shopping;[]
1460;kradzież;krađa;noun;rodzaj żeński;Prijavio je krađu policiji.;Zgłosił kradzież policji.;NO;;HR_1001_1500 noun;[]
1461;ukraść;ukrasti;verb;1. os.: ukradem;Ukrali su mu bicikl.;Ukradli mu rower.;NO;;HR_1001_1500 verb;[]
1462;zgłosić;prijaviti;verb;1. os.: prijavim;Prijavi to na recepciji.;Zgłoś to w recepcji.;NO;;HR_1001_1500 verb travel;[]
1463;biuro rzeczy znalezionych;izgubljeno-nađeno;noun;;Pitaj u izgubljeno-nađeno.;Zapytaj w biurze rzeczy znalezionych.;NO;;HR_1001_1500 noun travel;[]
1464;pomocy;upomoć;phrase;wołanie o pomoc;Upomoć netko je pao!;Pomocy ktoś upadł!;NO;;HR_1001_1500 conversation;[]
1465;wypadek drogowy;prometna nesreća;noun;rodzaj żeński;Prometna nesreća blokira cestu.;Wypadek drogowy blokuje drogę.;NO;;HR_1001_1500 noun transportation;[]
1466;pożar;požar;noun;rodzaj męski;Požar je izbio u šumi.;Pożar wybuchł w lesie.;NO;;HR_1001_1500 noun media;[]
1467;straż pożarna;vatrogasci;noun;rodzaj męski mn.;Vatrogasci su brzo stigli.;Straż pożarna szybko przyjechała.;NO;;HR_1001_1500 noun people;[]
1468;niebezpieczeństwo;opasnost;noun;rodzaj żeński - gen. opasnosti;Nema opasnosti za stanovnike.;Nie ma niebezpieczeństwa dla mieszkańców.;NO;;HR_1001_1500 noun media;[]
1469;mieszkaniec;stanovnik;noun;rodzaj męski - mn. stanovnici;Grad ima sto tisuća stanovnika.;Miasto ma sto tysięcy mieszkańców.;NO;;HR_1001_1500 noun people;[]
1470;ludność;stanovništvo;noun;rodzaj nijaki;Stanovništvo stari.;Ludność się starzeje.;NO;;HR_1001_1500 noun media;[]
1471;starzeć się;stariti;verb;1. os.: starim;Svi starimo polako.;Wszyscy starzejemy się powoli.;NO;;HR_1001_1500 verb people;[]
1472;młodzież;mladi;noun;rodzaj męski mn.;Mladi odlaze u inozemstvo.;Młodzież wyjeżdża za granicę.;NO;;HR_1001_1500 noun people media;[]
1473;zagranica;inozemstvo;noun;rodzaj nijaki - nie inostranstvo;Radi u inozemstvu pet godina.;Pracuje za granicą pięć lat.;NO;;HR_1001_1500 noun travel work;[]
1474;wyemigrować;iseliti se;verb;1. os.: iselim se;Iselili su se u Irsku.;Wyemigrowali do Irlandii.;NO;;HR_1001_1500 verb people;[]
1475;wrócić do kraju;vratiti se u domovinu;phrase;domovina ojczyzna;Vratio se u domovinu prošle godine.;Wrócił do kraju w zeszłym roku.;NO;;HR_1001_1500 people;[]
1476;ojczyzna;domovina;noun;rodzaj żeński;Domovina mu puno znači.;Ojczyzna dużo dla niego znaczy.;NO;;HR_1001_1500 noun;[]
1477;obywatel;državljanin;noun;rodzaj męski - mn. državljani;Poljski državljani ne trebaju vizu.;Polscy obywatele nie potrzebują wizy.;NO;;HR_1001_1500 noun people;[]
1478;wiza;viza;noun;rodzaj żeński;Viza više nije potrebna.;Wiza nie jest już potrzebna.;NO;;HR_1001_1500 noun travel;[]
1479;pozwolenie na pobyt;boravišna dozvola;noun;rodzaj żeński;Čekam boravišnu dozvolu.;Czekam na pozwolenie na pobyt.;NO;;HR_1001_1500 noun work travel;[]
1480;urząd;ured;noun;rodzaj męski - też: institucija;Idem u ured za strance.;Idę do urzędu dla cudzoziemców.;NO;;HR_1001_1500 noun work;[]
1481;kolejka w urzędzie;red na šalteru;phrase;šalter okienko;Red na šalteru je dugačak.;Kolejka do okienka jest długa.;NO;;HR_1001_1500 work;[]
1482;formalności;formalnosti;noun;rodzaj żeński mn.;Formalnosti traju tjednima.;Formalności trwają tygodniami.;NO;;HR_1001_1500 noun work;[]
1483;zaświadczenie;potvrda;noun;rodzaj żeński;Trebam potvrdu iz banke.;Potrzebuję zaświadczenia z banku.;NO;;HR_1001_1500 noun work;[]
1484;kopia;kopija;noun;rodzaj żeński;Napravi kopiju putovnice.;Zrób kopię paszportu.;NO;;HR_1001_1500 noun work;[]
1485;oryginał;original;noun;rodzaj męski - też: izvornik;Original ostaje kod mene.;Oryginał zostaje u mnie.;NO;;HR_1001_1500 noun work;"[""izvornik""]"
1486;pieczątka;pečat;noun;rodzaj męski;Treba mi pečat i potpis.;Potrzebna mi pieczątka i podpis.;NO;;HR_1001_1500 noun work;[]
1487;opłata;naknada;noun;rodzaj żeński;Naknada iznosi deset eura.;Opłata wynosi dziesięć euro.;NO;;HR_1001_1500 noun work;[]
1488;wynosić (sumę);iznositi;verb;3. os.: iznosi;Račun iznosi četrdeset eura.;Rachunek wynosi czterdzieści euro.;NO;;HR_1001_1500 verb shopping;[]
1489;drobne (monety);sitniš;noun;rodzaj męski;Imate li sitniša?;Mają państwo drobne?;NO;;HR_1001_1500 noun shopping;[]
1490;reszta (z pieniędzy);ostatak;noun;rodzaj męski - w sklepie: ostatak novca;Zadržite ostatak.;Proszę zatrzymać resztę.;NO;;HR_1001_1500 noun shopping;[]
1491;banknot;novčanica;noun;rodzaj żeński;Nemam manju novčanicu.;Nie mam mniejszego banknotu.;NO;;HR_1001_1500 noun shopping;[]
1492;automat;automat;noun;rodzaj męski;Karte kupi na automatu.;Bilety kup w automacie.;NO;;HR_1001_1500 noun transportation;[]
1493;kolej linowo-terenowa;uspinjača;noun;rodzaj żeński;Uspinjača vozi do Gornjeg grada.;Kolejka jeździ do Górnego miasta.;NO;;HR_1001_1500 noun travel;[]
1494;zwiedzanie;razgledavanje;noun;rodzaj nijaki;Razgledavanje traje dva sata.;Zwiedzanie trwa dwie godziny.;NO;;HR_1001_1500 noun travel;[]
1495;zabytek;spomenik;noun;rodzaj męski - znaczy też pomnik;Spomenik je pod zaštitom.;Zabytek jest pod ochroną.;NO;;HR_1001_1500 noun travel;[]
1496;stare miasto;stari grad;noun;rodzaj męski;Stari grad je pješačka zona.;Stare miasto to strefa piesza.;NO;;HR_1001_1500 noun travel;[]
1497;pamiątka;suvenir;noun;rodzaj męski;Kupili smo suvenire za obitelj.;Kupiliśmy pamiątki dla rodziny.;NO;;HR_1001_1500 noun travel shopping;[]
1498;pocztówka;razglednica;noun;rodzaj żeński;Poslao sam razglednicu iz Dubrovnika.;Wysłałem pocztówkę z Dubrownika.;NO;;HR_1001_1500 noun travel;[]
1499;robić zdjęcia;fotografirati;verb;1. os.: fotografiram - nie fotografisati;Fotografiram zalazak sunca.;Fotografuję zachód słońca.;NO;;HR_1001_1500 verb travel;[]
1500;zachód słońca;zalazak sunca;noun;rodzaj męski - gen. zalaska;Zalazak sunca je bio nevjerojatan.;Zachód słońca był niesamowity.;NO;;HR_1001_1500 noun travel;[]
1501;niesamowity;nevjerojatan;adjective;ž. nevjerojatna;Priča je nevjerojatna.;Historia jest niesamowita.;NO;;HR_1501_2000 adjective opinions;[]
1502;wschód słońca;izlazak sunca;noun;rodzaj męski - gen. izlaska;Ustali smo na izlazak sunca.;Wstaliśmy na wschód słońca.;NO;;HR_1501_2000 noun travel;[]
1503;widok z góry;pogled s vrha;phrase;vrh szczyt;Pogled s vrha je fantastičan.;Widok z góry jest fantastyczny.;NO;;HR_1501_2000 travel;[]
1504;szczyt;vrh;noun;rodzaj męski - mn. vrhovi;Na vrh se penje dva sata.;Na szczyt wchodzi się dwie godziny.;NO;;HR_1501_2000 noun travel;[]
1505;wspinać się;penjati se;verb;1. os.: penjem se;Penjemo se polako.;Wspinamy się powoli.;NO;;HR_1501_2000 verb travel;[]
1506;szlak;planinarska staza;noun;rodzaj żeński;Staza je dobro označena.;Szlak jest dobrze oznaczony.;NO;;HR_1501_2000 noun travel;[]
1507;oznaczony;označen;adjective;ž. označena;Put je jasno označen.;Droga jest jasno oznaczona.;NO;;HR_1501_2000 adjective travel;[]
1508;znak (drogowy);znak;noun;rodzaj męski - mn. znakovi;Nisam vidio znak.;Nie widziałem znaku.;NO;;HR_1501_2000 noun transportation;[]
1509;tablica informacyjna;informativna ploča;noun;rodzaj żeński;Na ploči piše radno vrijeme.;Na tablicy pisze godziny otwarcia.;NO;;HR_1501_2000 noun travel;[]
1510;drogowskaz;putokaz;noun;rodzaj męski;Putokaz pokazuje lijevo.;Drogowskaz pokazuje w lewo.;NO;;HR_1501_2000 noun transportation;[]
1511;szukać drogi;tražiti put;phrase;;Tražimo put do plaže.;Szukamy drogi na plażę.;NO;;HR_1501_2000 travel;[]
1512;zgubić się;izgubiti se;verb;1. os.: izgubim se;Izgubili smo se u starom gradu.;Zgubiliśmy się w starym mieście.;NO;;HR_1501_2000 verb travel;[]
1513;pytać o drogę;pitati za put;phrase;;Pitaj nekoga za put.;Zapytaj kogoś o drogę.;NO;;HR_1501_2000 travel conversation;[]
1514;prosto (kierunek);ravno;adverb;;Idite ravno pa desno.;Idźcie prosto potem w prawo.;NO;;HR_1501_2000 adverb transportation;[]
1515;z powrotem;natrag;adverb;też: nazad;Vrati se natrag do trga.;Wróć z powrotem do placu.;NO;;HR_1501_2000 adverb travel;"[""nazad""]"
1516;niedaleko;nedaleko;adverb;+ od + gen.;Nedaleko odavde je pekara.;Niedaleko stąd jest piekarnia.;NO;;HR_1501_2000 adverb travel;[]
1517;stąd;odavde;adverb;;Odavde je pet minuta hoda.;Stąd to pięć minut drogi.;NO;;HR_1501_2000 adverb travel;[]
1518;tam (dokąd);onamo;adverb;częściej: tamo;Idemo tamo pješice.;Idziemy tam pieszo.;NO;;HR_1501_2000 adverb;"[""tamo""]"
1519;skądś;odnekud;adverb;;Poznajem te odnekud.;Znam cię skądś.;NO;;HR_1501_2000 adverb conversation;[]
1520;dokądkolwiek;bilo kamo;phrase;;Idem bilo kamo samo da odem.;Pojadę dokądkolwiek byle wyjechać.;NO;;HR_1501_2000 conversation;[]
1521;cokolwiek;bilo što;phrase;;Uzmi bilo što s police.;Weź cokolwiek z półki.;NO;;HR_1501_2000 conversation;[]
1522;ktokolwiek;bilo tko;phrase;;Bilo tko to može napraviti.;Ktokolwiek może to zrobić.;NO;;HR_1501_2000 conversation;[]
1523;półka;polica;noun;rodzaj żeński;Knjige su na gornjoj polici.;Książki są na górnej półce.;NO;;HR_1501_2000 noun home;[]
1524;górny;gornji;adjective;ž. gornja;Gornji kat je prazan.;Górne piętro jest puste.;NO;;HR_1501_2000 adjective home;[]
1525;dolny;donji;adjective;ž. donja;Donja ladica se zaglavila.;Dolna szuflada się zacięła.;NO;;HR_1501_2000 adjective home;[]
1526;szuflada;ladica;noun;rodzaj żeński;Pribor je u ladici.;Sztućce są w szufladzie.;NO;;HR_1501_2000 noun home;[]
1527;sztućce;pribor za jelo;noun;rodzaj męski;Donesi pribor za jelo.;Przynieś sztućce.;NO;;HR_1501_2000 noun food home;[]
