# phrase|conversation podstawy
zovem se|nazywam się|Zovem se Marko.|Nazywam się Marko.
skrenite desno|proszę skręcić w prawo|Skrenite desno.|Proszę skręcić w prawo.
idite ravno|proszę iść prosto|Idite ravno.|Proszę iść prosto.
prijeđite cestu|proszę przejść przez jezdnię|Prijeđite cestu.|Proszę przejść przez jezdnię.
na sljedećem raskrižju|na następnym skrzyżowaniu|Na sljedećem raskrižju.|Na następnym skrzyżowaniu.
na drugoj strani ulice|po drugiej stronie ulicy|Na drugoj strani ulice.|Po drugiej stronie ulicy.
na kraju ulice|na końcu ulicy|Na kraju ulice.|Na końcu ulicy.
odmah iza ugla|zaraz za rogiem|Odmah iza ugla.|Zaraz za rogiem.
ne možete promašiti|nie sposób nie trafić|Ne možete promašiti.|Nie sposób nie trafić.
možete li pokazati na karti|czy może pan/pani pokazać na mapie|Možete li pokazati na karti?|Czy może pan/pani pokazać na mapie?
mislim da sam se izgubio|chyba się zgubiłem|Mislim da sam se izgubio.|Chyba się zgubiłem.
tražim ovu adresu|szukam tego adresu|Tražim ovu adresu.|Szukam tego adresu.
je li ovo pravi put|czy to właściwa droga|Je li ovo pravi put?|Czy to właściwa droga?
možete li me odvesti do hotela|czy może mnie pan/pani zawieźć do hotelu|Možete li me odvesti do hotela?|Czy może mnie pan/pani zawieźć do hotelu?
koliko košta vožnja|ile kosztuje przejazd|Koliko košta vožnja?|Ile kosztuje przejazd?
molim vas, stanite ovdje|proszę zatrzymać się tutaj|Molim vas, stanite ovdje.|Proszę zatrzymać się tutaj.
vozi li ovaj autobus do centra|czy ten autobus jedzie do centrum|Vozi li ovaj autobus do centra.|Czy ten autobus jedzie do centrum.
gdje se kupuju karte|gdzie kupuje się bilety|Gdje se kupuju karte?|Gdzie kupuje się bilety?
jednu kartu, molim|poproszę jeden bilet|Jednu kartu, molim.|Poproszę jeden bilet.
povratnu kartu, molim|poproszę bilet powrotny|Povratnu kartu, molim.|Poproszę bilet powrotny.
moram li presjedati|czy muszę się przesiadać|Moram li presjedati.|Czy muszę się przesiadać.
gdje trebam izaći|gdzie mam wysiąść|Gdje trebam izaći?|Gdzie mam wysiąść?
koja je sljedeća stanica|jaki jest następny przystanek|Koja je sljedeća stanica?|Jaki jest następny przystanek?
je li ovo mjesto slobodno|czy to miejsce jest wolne|Je li ovo mjesto slobodno?|Czy to miejsce jest wolne?
ovo je moje mjesto|to moje miejsce|Ovo je moje mjesto.|To moje miejsce.
koliko kasni vlak|ile spóźnia się pociąg|Koliko kasni vlak?|Ile spóźnia się pociąg?
s kojeg perona polazi|z którego peronu odjeżdża|S kojeg perona polazi.|Z którego peronu odjeżdża.
propustio sam autobus|uciekł mi autobus|Propustio sam autobus.|Uciekł mi autobus.
kad polazi zadnji autobus|kiedy odjeżdża ostatni autobus|Kad polazi zadnji autobus?|Kiedy odjeżdża ostatni autobus?
vrijedi li ova karta|czy ten bilet jest ważny|Vrijedi li ova karta.|Czy ten bilet jest ważny.
moram li poništiti kartu|czy muszę skasować bilet|Moram li poništiti kartu.|Czy muszę skasować bilet.
mogu li platiti kod vozača|czy mogę zapłacić u kierowcy|Mogu li platiti kod vozača?|Czy mogę zapłacić u kierowcy?
imate li sitno|czy ma pan/pani drobne|Imate li sitno?|Czy ma pan/pani drobne?
nemam sitnog novca|nie mam drobnych|Nemam sitnog novca.|Nie mam drobnych.
želim unajmiti auto|chcę wynająć samochód|Želim unajmiti auto.|Chcę wynająć samochód.
je li osiguranje uključeno|czy ubezpieczenie jest wliczone|Je li osiguranje uključeno?|Czy ubezpieczenie jest wliczone?
mogu li vratiti auto drugdje|czy mogę zwrócić samochód w innym miejscu|Mogu li vratiti auto drugdje?|Czy mogę zwrócić samochód w innym miejscu?
pun spremnik, molim|poproszę pełny bak|Pun spremnik, molim.|Poproszę pełny bak.
gdje je najbliža benzinska postaja|gdzie jest najbliższa stacja benzynowa|Gdje je najbliža benzinska postaja?|Gdzie jest najbliższa stacja benzynowa?
smijem li ovdje parkirati|czy mogę tutaj zaparkować|Smijem li ovdje parkirati?|Czy mogę tutaj zaparkować?
koliko košta sat parkiranja|ile kosztuje godzina parkowania|Koliko košta sat parkiranja?|Ile kosztuje godzina parkowania?
auto mi se pokvario|zepsuł mi się samochód|Auto mi se pokvario.|Zepsuł mi się samochód.
ne mogu upaliti auto|nie mogę uruchomić samochodu|Ne mogu upaliti auto.|Nie mogę uruchomić samochodu.
pukla mi je guma|pękła mi opona|Pukla mi je guma.|Pękła mi opona.
trebam vučnu službu|potrzebuję pomocy drogowej|Trebam vučnu službu.|Potrzebuję pomocy drogowej.
nestalo mi je goriva|skończyło mi się paliwo|Nestalo mi je goriva.|Skończyło mi się paliwo.
ima li ozlijeđenih|czy są ranni|Ima li ozlijeđenih?|Czy są ranni?
zovite policiju|proszę zadzwonić na policję|Zovite policiju.|Proszę zadzwonić na policję.
izgubio sam putovnicu|zgubiłem paszport|Izgubio sam putovnicu.|Zgubiłem paszport.
netko mi je ukrao torbu|ktoś ukradł mi torbę|Netko mi je ukrao torbu.|Ktoś ukradł mi torbę.
želim prijaviti krađu|chcę zgłosić kradzież|Želim prijaviti krađu.|Chcę zgłosić kradzież.
gdje je izlaz za ukrcaj|gdzie jest bramka do wejścia na pokład|Gdje je izlaz za ukrcaj?|Gdzie jest bramka do wejścia na pokład?
kada počinje ukrcaj|kiedy zaczyna się wejście na pokład|Kada počinje ukrcaj?|Kiedy zaczyna się wejście na pokład?
imam samo ručnu prtljagu|mam tylko bagaż podręczny|Imam samo ručnu prtljagu.|Mam tylko bagaż podręczny.
moja prtljaga nije stigla|mój bagaż nie dotarł|Moja prtljaga nije stigla.|Mój bagaż nie dotarł.
moj je let otkazan|mój lot został odwołany|Moj je let otkazan.|Mój lot został odwołany.
mogu li promijeniti kartu|czy mogę zmienić bilet|Mogu li promijeniti kartu?|Czy mogę zmienić bilet?
želim mjesto do prozora|chcę miejsce przy oknie|Želim mjesto do prozora.|Chcę miejsce przy oknie.
želim mjesto do prolaza|chcę miejsce przy przejściu|Želim mjesto do prolaza.|Chcę miejsce przy przejściu.
koliko traje let|ile trwa lot|Koliko traje let?|Ile trwa lot?
moram uhvatiti vezu|muszę zdążyć na połączenie|Moram uhvatiti vezu.|Muszę zdążyć na połączenie.
ništa za prijaviti|nic do oclenia|Ništa za prijaviti.|Nic do oclenia.
imam nešto za prijaviti|mam coś do oclenia|Imam nešto za prijaviti.|Mam coś do oclenia.
samo prolazim|tylko przejeżdżam|Samo prolazim.|Tylko przejeżdżam.
koliko dugo ostajete|jak długo pan/pani zostaje|Koliko dugo ostajete?|Jak długo pan/pani zostaje?
ostajem tjedan dana|zostaję na tydzień|Ostajem tjedan dana.|Zostaję na tydzień.
imam povratnu kartu|mam bilet powrotny|Imam povratnu kartu.|Mam bilet powrotny.
# phrase|travel home podstawy
imam rezervaciju|mam rezerwację|Imam rezervaciju.|Mam rezerwację.
rezervacija je na moje ime|rezerwacja jest na moje nazwisko|Rezervacija je na moje ime.|Rezerwacja jest na moje nazwisko.
imate li slobodnih soba|czy mają państwo wolne pokoje|Imate li slobodnih soba?|Czy mają państwo wolne pokoje?
za dvije osobe|dla dwóch osób|Za dvije osobe.|Dla dwóch osób.
za jednu noć|na jedną noc|Za jednu noć.|Na jedną noc.
je li doručak uključen|czy śniadanie jest wliczone|Je li doručak uključen?|Czy śniadanie jest wliczone?
koliko košta noćenje|ile kosztuje nocleg|Koliko košta noćenje?|Ile kosztuje nocleg?
mogu li vidjeti sobu|czy mogę zobaczyć pokój|Mogu li vidjeti sobu?|Czy mogę zobaczyć pokój?
ima li soba balkon|czy pokój ma balkon|Ima li soba balkon?|Czy pokój ma balkon?
ima li u sobi kupaonica|czy w pokoju jest łazienka|Ima li u sobi kupaonica?|Czy w pokoju jest łazienka?
u koliko je doručak|o której jest śniadanie|U koliko je doručak.|O której jest śniadanie.
do kada se moram odjaviti|do kiedy muszę się wymeldować|Do kada se moram odjaviti.|Do kiedy muszę się wymeldować.
mogu li ostaviti prtljagu|czy mogę zostawić bagaż|Mogu li ostaviti prtljagu?|Czy mogę zostawić bagaż?
koja je lozinka za Wi-Fi|jakie jest hasło do Wi-Fi|Koja je lozinka za Wi-Fi?|Jakie jest hasło do Wi-Fi?
ne radi klima|nie działa klimatyzacja|Ne radi klima.|Nie działa klimatyzacja.
nema tople vode|nie ma ciepłej wody|Nema tople vode.|Nie ma ciepłej wody.
soba nije očišćena|pokój nie został posprzątany|Soba nije očišćena.|Pokój nie został posprzątany.
mogu li dobiti drugi ručnik|czy mogę dostać drugi ręcznik|Mogu li dobiti drugi ručnik?|Czy mogę dostać drugi ręcznik?
molim dodatnu deku|poproszę dodatkowy koc|Molim dodatnu deku.|Poproszę dodatkowy koc.
previše je bučno|jest zbyt głośno|Previše je bučno.|Jest zbyt głośno.
mogu li promijeniti sobu|czy mogę zmienić pokój|Mogu li promijeniti sobu?|Czy mogę zmienić pokój?
ključ ne radi|klucz nie działa|Ključ ne radi.|Klucz nie działa.
ostao sam vani bez ključa|zostałem na zewnątrz bez klucza|Ostao sam vani bez ključa.|Zostałem na zewnątrz bez klucza.
želim produljiti boravak|chcę przedłużyć pobyt|Želim produljiti boravak.|Chcę przedłużyć pobyt.
mogu li se kasnije odjaviti|czy mogę wymeldować się później|Mogu li se kasnije odjaviti?|Czy mogę wymeldować się później?
molim račun na tvrtku|poproszę fakturę na firmę|Molim račun na tvrtku.|Poproszę fakturę na firmę.
možete li pozvati taksi|czy może pan/pani zamówić taksówkę|Možete li pozvati taksi?|Czy może pan/pani zamówić taksówkę?
hvala na ugodnom boravku|dziękuję za miły pobyt|Hvala na ugodnom boravku.|Dziękuję za miły pobyt.
tražim stan za najam|szukam mieszkania do wynajęcia|Tražim stan za najam.|Szukam mieszkania do wynajęcia.
kolika je mjesečna najamnina|ile wynosi miesięczny czynsz najmu|Kolika je mjesečna najamnina.|Ile wynosi miesięczny czynsz najmu.
jesu li režije uključene|czy opłaty są wliczone|Jesu li režije uključene.|Czy opłaty są wliczone.
koliki je polog|ile wynosi kaucja|Koliki je polog.|Ile wynosi kaucja.
je li stan namješten|czy mieszkanie jest umeblowane|Je li stan namješten?|Czy mieszkanie jest umeblowane?
jesu li kućni ljubimci dopušteni|czy zwierzęta domowe są dozwolone|Jesu li kućni ljubimci dopušteni.|Czy zwierzęta domowe są dozwolone.
kada se mogu useliti|kiedy mogę się wprowadzić|Kada se mogu useliti?|Kiedy mogę się wprowadzić?
koliko traje ugovor|jak długo obowiązuje umowa|Koliko traje ugovor?|Jak długo obowiązuje umowa?
ima li perilicu rublja|czy jest pralka|Ima li perilicu rublja?|Czy jest pralka?
kakvo je grijanje|jakie jest ogrzewanie|Kakvo je grijanje.|Jakie jest ogrzewanie.
# phrase|food podstawy
stol za dvoje, molim|poproszę stolik dla dwojga|Stol za dvoje, molim.|Poproszę stolik dla dwojga.
imamo rezerviran stol|mamy zarezerwowany stolik|Imamo rezerviran stol.|Mamy zarezerwowany stolik.
možemo li sjesti vani|czy możemy usiąść na zewnątrz|Možemo li sjesti vani.|Czy możemy usiąść na zewnątrz.
mogu li dobiti jelovnik|czy mogę dostać menu|Mogu li dobiti jelovnik?|Czy mogę dostać menu?
što preporučujete|co pan/pani poleca|Što preporučujete?|Co pan/pani poleca?
koje je jelo dana|jakie jest danie dnia|Koje je jelo dana?|Jakie jest danie dnia?
još nismo odlučili|jeszcze nie zdecydowaliśmy|Još nismo odlučili.|Jeszcze nie zdecydowaliśmy.
trebamo još malo vremena|potrzebujemy jeszcze trochę czasu|Trebamo još malo vremena.|Potrzebujemy jeszcze trochę czasu.
spremni smo naručiti|jesteśmy gotowi zamówić|Spremni smo naručiti.|Jesteśmy gotowi zamówić.
za mene isto|dla mnie to samo|Za mene isto.|Dla mnie to samo.
bez luka, molim|poproszę bez cebuli|Bez luka, molim.|Poproszę bez cebuli.
umak sa strane|sos osobno|Umak sa strane.|Sos osobno.
je li ovo ljuto|czy to jest ostre|Je li ovo ljuto?|Czy to jest ostre?
sadrži li ovo orašaste plodove|czy to zawiera orzechy|Sadrži li ovo orašaste plodove.|Czy to zawiera orzechy.
alergičan sam na kikiriki|mam alergię na orzeszki ziemne|Alergičan sam na kikiriki.|Mam alergię na orzeszki ziemne.
ne jedem meso|nie jem mięsa|Ne jedem meso.|Nie jem mięsa.
imate li vegetarijansko jelo|czy mają państwo danie wegetariańskie|Imate li vegetarijansko jelo?|Czy mają państwo danie wegetariańskie?
mogu li dobiti manju porciju|czy mogę dostać mniejszą porcję|Mogu li dobiti manju porciju?|Czy mogę dostać mniejszą porcję?
vodu iz slavine, molim|poproszę wodę z kranu|Vodu iz slavine, molim.|Poproszę wodę z kranu.
bez leda, molim|poproszę bez lodu|Bez leda, molim.|Poproszę bez lodu.
još jednu kavu, molim|poproszę jeszcze jedną kawę|Još jednu kavu, molim.|Poproszę jeszcze jedną kawę.
kavu za van|kawę na wynos|Kavu za van.|Kawę na wynos.
za ovdje ili za van|na miejscu czy na wynos|Za ovdje ili za van.|Na miejscu czy na wynos.
možete li ovo zapakirati|czy może pan/pani to zapakować|Možete li ovo zapakirati?|Czy może pan/pani to zapakować?
ovo nisam naručio|tego nie zamawiałem|Ovo nisam naručio.|Tego nie zamawiałem.
nedostaje nam jedno jelo|brakuje nam jednego dania|Nedostaje nam jedno jelo.|Brakuje nam jednego dania.
jelo je hladno|danie jest zimne|Jelo je hladno.|Danie jest zimne.
meso nije dovoljno pečeno|mięso jest niedopieczone|Meso nije dovoljno pečeno.|Mięso jest niedopieczone.
bilo je ukusno|było smaczne|Bilo je ukusno.|Było smaczne.
račun, molim|poproszę rachunek|Račun, molim.|Poproszę rachunek.
možemo li platiti odvojeno|czy możemy zapłacić osobno|Možemo li platiti odvojeno.|Czy możemy zapłacić osobno.
plaćamo zajedno|płacimy razem|Plaćamo zajedno.|Płacimy razem.
je li napojnica uključena|czy napiwek jest wliczony|Je li napojnica uključena?|Czy napiwek jest wliczony?
zadržite ostatak|reszty nie trzeba|Zadržite ostatak.|Reszty nie trzeba.
mislim da je račun pogrešan|chyba rachunek jest błędny|Mislim da je račun pogrešan.|Chyba rachunek jest błędny.
možete li donijeti žlicu|czy może pan/pani przynieść łyżkę|Možete li donijeti žlicu?|Czy może pan/pani przynieść łyżkę?
mogu li dobiti još kruha|czy mogę dostać jeszcze chleba|Mogu li dobiti još kruha?|Czy mogę dostać jeszcze chleba?
što ćete popiti|czego się pan/pani napije|Što ćete popiti?|Czego się pan/pani napije?
što ćete jesti|co będzie pan/pani jeść|Što ćete jesti?|Co będzie pan/pani jeść?
# phrase|shopping podstawy
samo gledam|tylko się rozglądam|Samo gledam.|Tylko się rozglądam.
tražim poklon|szukam prezentu|Tražim poklon.|Szukam prezentu.
imate li ovo u drugoj boji|czy mają państwo to w innym kolorze|Imate li ovo u drugoj boji?|Czy mają państwo to w innym kolorze?
imate li veći broj|czy mają państwo większy rozmiar|Imate li veći broj?|Czy mają państwo większy rozmiar?
imate li manji broj|czy mają państwo mniejszy rozmiar|Imate li manji broj?|Czy mają państwo mniejszy rozmiar?
gdje je kabina za presvlačenje|gdzie jest przymierzalnia|Gdje je kabina za presvlačenje?|Gdzie jest przymierzalnia?
mogu li ovo isprobati|czy mogę to przymierzyć|Mogu li ovo isprobati?|Czy mogę to przymierzyć?
ovo mi je premalo|to jest na mnie za małe|Ovo mi je premalo.|To jest na mnie za małe.
ovo mi je preveliko|to jest na mnie za duże|Ovo mi je preveliko.|To jest na mnie za duże.
dobro mi stoji|dobrze na mnie leży|Dobro mi stoji.|Dobrze na mnie leży.
uzet ću ovo|wezmę to|Uzet ću ovo.|Wezmę to.
koliko stoji|ile kosztuje|Koliko stoji?|Ile kosztuje?
je li ovo na sniženju|czy to jest przecenione|Je li ovo na sniženju?|Czy to jest przecenione?
imate li nešto jeftinije|czy mają państwo coś tańszego|Imate li nešto jeftinije?|Czy mają państwo coś tańszego?
mogu li platiti karticom|czy mogę zapłacić kartą|Mogu li platiti karticom?|Czy mogę zapłacić kartą?
primamo samo gotovinu|przyjmujemy tylko gotówkę|Primamo samo gotovinu.|Przyjmujemy tylko gotówkę.
plaćanje je odbijeno|płatność została odrzucona|Plaćanje je odbijeno.|Płatność została odrzucona.
želite li vrećicu|czy chce pan/pani torbę|Želite li vrećicu?|Czy chce pan/pani torbę?
imam svoju torbu|mam własną torbę|Imam svoju torbu.|Mam własną torbę.
trebam račun|potrzebuję paragonu|Trebam račun.|Potrzebuję paragonu.
mogu li ovo vratiti|czy mogę to zwrócić|Mogu li ovo vratiti?|Czy mogę to zwrócić?
želim zamijeniti proizvod|chcę wymienić produkt|Želim zamijeniti proizvod.|Chcę wymienić produkt.
ovo je oštećeno|to jest uszkodzone|Ovo je oštećeno.|To jest uszkodzone.
ne radi kako treba|nie działa jak należy|Ne radi kako treba.|Nie działa jak należy.
imam jamstvo|mam gwarancję|Imam jamstvo.|Mam gwarancję.
nemam više račun|nie mam już paragonu|Nemam više račun.|Nie mam już paragonu.
kada će opet biti dostupno|kiedy znów będzie dostępne|Kada će opet biti dostupno?|Kiedy znów będzie dostępne?
možete li mi to naručiti|czy może mi pan/pani to zamówić|Možete li mi to naručiti?|Czy może mi pan/pani to zamówić?
koliko traje dostava|ile trwa dostawa|Koliko traje dostava?|Ile trwa dostawa?
mogu li preuzeti osobno|czy mogę odebrać osobiście|Mogu li preuzeti osobno?|Czy mogę odebrać osobiście?
je li cijena po kilogramu|czy cena jest za kilogram|Je li cijena po kilogramu?|Czy cena jest za kilogram?
pola kilograma, molim|poproszę pół kilograma|Pola kilograma, molim.|Poproszę pół kilograma.
narežite na tanke kriške|proszę pokroić w cienkie plasterki|Narežite na tanke kriške.|Proszę pokroić w cienkie plasterki.
samo toliko|tylko tyle|Samo toliko.|Tylko tyle.
još nešto|coś jeszcze|Još nešto.|Coś jeszcze.
ne, hvala|nie, dziękuję|Ne, hvala.|Nie, dziękuję.
izvolite račun|proszę, oto paragon|Izvolite račun.|Proszę, oto paragon.
povrat samo uz račun|zwrot tylko z paragonem|Povrat samo uz račun.|Zwrot tylko z paragonem.
# phrase|health podstawy
trebam liječnika|potrzebuję lekarza|Trebam liječnika?|Potrzebuję lekarza?
pozovite hitnu pomoć|wezwijcie pogotowie|Pozovite hitnu pomoć.|Wezwijcie pogotowie.
ne mogu disati|nie mogę oddychać|Ne mogu disati.|Nie mogę oddychać.
boli me glava|boli mnie głowa|Boli me glava.|Boli mnie głowa.
boli me grlo|boli mnie gardło|Boli me grlo.|Boli mnie gardło.
boli me zub|boli mnie ząb|Boli me zub.|Boli mnie ząb.
boli me trbuh|boli mnie brzuch|Boli me trbuh.|Boli mnie brzuch.
imam temperaturu|mam gorączkę|Imam temperaturu.|Mam gorączkę.
vrti mi se u glavi|kręci mi się w głowie|Vrti mi se u glavi.|Kręci mi się w głowie.
muka mi je|jest mi niedobrze|Muka mi je.|Jest mi niedobrze.
imam proljev|mam biegunkę|Imam proljev.|Mam biegunkę.
imam zatvor|mam zaparcie|Imam zatvor.|Mam zaparcie.
ne mogu spavati|nie mogę spać|Ne mogu spavati.|Nie mogę spać.
kašljem već nekoliko dana|kaszlę już od kilku dni|Kašljem već nekoliko dana.|Kaszlę już od kilku dni.
boli me kad gutam|boli mnie przy przełykaniu|Boli me kad gutam.|Boli mnie przy przełykaniu.
ovdje me boli|tutaj mnie boli|Ovdje me boli.|Tutaj mnie boli.
bol je sve jača|ból jest coraz silniejszy|Bol je sve jača.|Ból jest coraz silniejszy.
pao sam|upadłem|Pao sam.|Upadłem.
porezao sam se|skaleczyłem się|Porezao sam se.|Skaleczyłem się.
uganuo sam gležanj|skręciłem kostkę|Uganuo sam gležanj.|Skręciłem kostkę.
ubola me osa|użądliła mnie osa|Ubola me osa.|Użądliła mnie osa.
imam alergiju|mam alergię|Imam alergiju.|Mam alergię.
uzimam ove lijekove|przyjmuję te leki|Uzimam ove lijekove.|Przyjmuję te leki.
imam zdravstveno osiguranje|mam ubezpieczenie zdrowotne|Imam zdravstveno osiguranje.|Mam ubezpieczenie zdrowotne.
želim se naručiti na pregled|chcę umówić się na badanie|Želim se naručiti na pregled.|Chcę umówić się na badanie.
imam zakazan pregled|mam umówione badanie|Imam zakazan pregled.|Mam umówione badanie.
koliko dugo to traje|jak długo to trwa|Koliko dugo to traje?|Jak długo to trwa?
jeste li već imali takve tegobe|czy miał pan/pani wcześniej takie dolegliwości|Jeste li već imali takve tegobe?|Czy miał pan/pani wcześniej takie dolegliwości?
udahnite duboko|proszę wziąć głęboki wdech|Udahnite duboko.|Proszę wziąć głęboki wdech.
zadržite dah|proszę wstrzymać oddech|Zadržite dah.|Proszę wstrzymać oddech.
otvorite usta|proszę otworzyć usta|Otvorite usta.|Proszę otworzyć usta.
možete se odjenuti|może się pan/pani ubrać|Možete se odjenuti.|Może się pan/pani ubrać.
koliko puta dnevno|ile razy dziennie|Koliko puta dnevno?|Ile razy dziennie?
prije ili poslije jela|przed czy po jedzeniu|Prije ili poslije jela.|Przed czy po jedzeniu.
koliko dana trebam uzimati lijek|przez ile dni mam przyjmować lek|Koliko dana trebam uzimati lijek?|Przez ile dni mam przyjmować lek?
treba li mi recept|czy potrzebuję recepty|Treba li mi recept.|Czy potrzebuję recepty.
mogu li ovo uzimati s drugim lijekovima|czy mogę to przyjmować z innymi lekami|Mogu li ovo uzimati s drugim lijekovima?|Czy mogę to przyjmować z innymi lekami?
kada će biti nalazi|kiedy będą wyniki|Kada će biti nalazi?|Kiedy będą wyniki?
kada trebam doći na kontrolu|kiedy mam przyjść na kontrolę|Kada trebam doći na kontrolu?|Kiedy mam przyjść na kontrolę?
možete li mi dati potvrdu|czy może mi pan/pani dać zaświadczenie|Možete li mi dati potvrdu?|Czy może mi pan/pani dać zaświadczenie?
# phrase|work podstawy
radim od kuće|pracuję z domu|Radim od kuće.|Pracuję z domu.
počinjem raditi u devet|zaczynam pracę o dziewiątej|Počinjem raditi u devet.|Zaczynam pracę o dziewiątej.
završavam u pet|kończę o piątej|Završavam u pet.|Kończę o piątej.
imam sastanak|mam spotkanie|Imam sastanak.|Mam spotkanie.
na pauzi sam|jestem na przerwie|Na pauzi sam.|Jestem na przerwie.
danas sam na godišnjem|jestem dziś na urlopie|Danas sam na godišnjem.|Jestem dziś na urlopie.
nisam u uredu|nie ma mnie w biurze|Nisam u uredu.|Nie ma mnie w biurze.
možete li mi poslati e-mail|czy może mi pan/pani wysłać e-mail|Možete li mi poslati e-mail?|Czy może mi pan/pani wysłać e-mail?
poslat ću ti poruku|wyślę ci wiadomość|Poslat ću ti poruku.|Wyślę ci wiadomość.
poslao sam u privitku|wysłałem w załączniku|Poslao sam u privitku.|Wysłałem w załączniku.
nisam dobio poruku|nie dostałem wiadomości|Nisam dobio poruku.|Nie dostałem wiadomości.
možeš li provjeriti|czy możesz sprawdzić|Možeš li provjeriti?|Czy możesz sprawdzić?
javim ti kad završim|dam ci znać, kiedy skończę|Javim ti kad završim.|Dam ci znać, kiedy skończę.
trebam više vremena|potrzebuję więcej czasu|Trebam više vremena.|Potrzebuję więcej czasu.
koji je rok|jaki jest termin|Koji je rok?|Jaki jest termin?
što je prioritet|co jest priorytetem|Što je prioritet?|Co jest priorytetem?
tko je za to zadužen|kto za to odpowiada|Tko je za to zadužen?|Kto za to odpowiada?
možemo li podijeliti posao|czy możemy podzielić pracę|Možemo li podijeliti posao.|Czy możemy podzielić pracę.
završio sam svoj dio|skończyłem swoją część|Završio sam svoj dio.|Skończyłem swoją część.
ostalo je još malo|zostało jeszcze trochę|Ostalo je još malo.|Zostało jeszcze trochę.
imamo mali problem|mamy mały problem|Imamo mali problem.|Mamy mały problem.
radim na tome|pracuję nad tym|Radim na tome.|Pracuję nad tym.
još nije gotovo|jeszcze nie jest gotowe|Još nije gotovo.|Jeszcze nie jest gotowe.
riješit ćemo to|rozwiążemy to|Riješit ćemo to.|Rozwiążemy to.
molim potvrdu primitka|proszę o potwierdzenie otrzymania|Molim potvrdu primitka.|Proszę o potwierdzenie otrzymania.
hvala na brzom odgovoru|dziękuję za szybką odpowiedź|Hvala na brzom odgovoru.|Dziękuję za szybką odpowiedź.
javite mi ako imate pitanja|proszę dać znać, jeśli ma pan/pani pytania|Javite mi ako imate pitanja.|Proszę dać znać, jeśli ma pan/pani pytania.
stojim vam na raspolaganju|pozostaję do państwa dyspozycji|Stojim vam na raspolaganju.|Pozostaję do państwa dyspozycji.
srdačan pozdrav|serdeczne pozdrowienia|Srdačan pozdrav.|Serdeczne pozdrowienia.
s poštovanjem|z poważaniem|S poštovanjem.|Z poważaniem.
veza se prekinula|połączenie zostało przerwane|Veza se prekinula.|Połączenie zostało przerwane.
ne čujem vas dobro|słabo pana/panią słyszę|Ne čujem vas dobro.|Słabo pana/panią słyszę.
isključen ti je mikrofon|masz wyłączony mikrofon|Isključen ti je mikrofon.|Masz wyłączony mikrofon.
možeš li podijeliti ekran|czy możesz udostępnić ekran|Možeš li podijeliti ekran?|Czy możesz udostępnić ekran?
kasni mi zvuk|mam opóźniony dźwięk|Kasni mi zvuk.|Mam opóźniony dźwięk.
nestala je struja|zabrakło prądu|Nestala je struja.|Zabrakło prądu.
nemam pristup|nie mam dostępu|Nemam pristup.|Nie mam dostępu.
zaboravio sam lozinku|zapomniałem hasła|Zaboravio sam lozinku.|Zapomniałem hasła.
ne mogu se prijaviti|nie mogę się zalogować|Ne mogu se prijaviti.|Nie mogę się zalogować.
račun mi je zaključan|moje konto jest zablokowane|Račun mi je zaključan.|Moje konto jest zablokowane.
ponovno pokreni računalo|uruchom ponownie komputer|Ponovno pokreni računalo.|Uruchom ponownie komputer.
spremi promjene|zapisz zmiany|Spremi promjene.|Zapisz zmiany.
ne zatvaraj prozor|nie zamykaj okna|Ne zatvaraj prozor.|Nie zamykaj okna.
pritisni ovu tipku|naciśnij ten klawisz|Pritisni ovu tipku.|Naciśnij ten klawisz.
pošalji mi poveznicu|wyślij mi link|Pošalji mi poveznicu.|Wyślij mi link.
mogu li te nazvati|czy mogę do ciebie zadzwonić|Mogu li te nazvati?|Czy mogę do ciebie zadzwonić?
nazvat ću te kasnije|zadzwonię do ciebie później|Nazvat ću te kasnije.|Zadzwonię do ciebie później.
trenutačno ne mogu razgovarati|teraz nie mogę rozmawiać|Trenutačno ne mogu razgovarati.|Teraz nie mogę rozmawiać.
ostavite poruku nakon signala|proszę zostawić wiadomość po sygnale|Ostavite poruku nakon signala.|Proszę zostawić wiadomość po sygnale.
pogrešan broj|pomyłka, zły numer|Pogrešan broj.|Pomyłka, zły numer.
# noun|home
dnevni boravak|salon|To je dnevni boravak.|To jest salon.
predsoblje|przedpokój|To je predsoblje.|To jest przedpokój.
blagovaonica|jadalnia|To je blagovaonica.|To jest jadalnia.
radna soba|gabinet domowy|To je radna soba.|To jest gabinet domowy.
spremište|schowek|To je spremište.|To jest schowek.
ostava|spiżarnia|To je ostava.|To jest spiżarnia.
praonica|pralnia|To je praonica.|To jest pralnia.
kotlovnica|kotłownia|To je kotlovnica.|To jest kotłownia.
lođa|loggia|To je lođa.|To jest loggia.
balkonska vrata|drzwi balkonowe|To su balkonska vrata.|To są drzwi balkonowe.
prozorska daska|parapet|To je prozorska daska.|To jest parapet.
roleta|roleta|To je roleta.|To jest roleta.
žaluzina|żaluzja|To je žaluzina.|To jest żaluzja.
komarnik|moskitiera|To je komarnik.|To jest moskitiera.
kvaka|klamka|To je kvaka.|To jest klamka.
šarka|zawias|To je šarka.|To jest zawias.
prag|próg|To je prag.|To jest próg.
otirač|wycieraczka do butów|To je otirač.|To jest wycieraczka do butów.
zvono na vratima|dzwonek do drzwi|To je zvono na vratima.|To jest dzwonek do drzwi.
portafon|domofon|To je portafon.|To jest domofon.
