Rank;Polish;Croatian;PartOfSpeech;Grammar;ExampleCroatian;ExamplePolish;FalseFriend;FalseFriendNote;Tags
555;przymierzać;probati;verb;1. os.: probam - też: isprobati;Mogu li probati ovu jaknu?;Mogę przymierzyć tę kurtkę?;NO;;HR_0501_1000 verb shopping
556;zniżka;popust;noun;rodzaj męski - mn. popusti;Ima li popusta za studente?;Jest zniżka dla studentów?;NO;;HR_0501_1000 noun shopping
557;wyprzedaż;sniženje;noun;rodzaj nijaki;Kupio sam to na sniženju.;Kupiłem to na wyprzedaży.;NO;;HR_0501_1000 noun shopping
558;gotówka albo karta;gotovina ili kartica;phrase;;Gotovina ili kartica?;Gotówka czy karta?;NO;;HR_0501_1000 shopping conversation
559;paragon;potvrda;noun;częściej: račun;Zadrži račun za garanciju.;Zachowaj paragon na gwarancję.;NO;;HR_0501_1000 noun shopping
560;waga (ciężar);težina;noun;rodzaj żeński;Težina prtljage je previsoka.;Waga bagażu jest za wysoka.;NO;;HR_0501_1000 noun travel
561;bagaż;prtljaga;noun;rodzaj żeński;Prtljagu ostavi u sobi.;Bagaż zostaw w pokoju.;NO;;HR_0501_1000 noun travel
562;lot;let;noun;rodzaj męski - mn. letovi;Let je otkazan zbog vremena.;Lot odwołano z powodu pogody.;NO;;HR_0501_1000 noun travel transportation
563;opóźnienie;kašnjenje;noun;rodzaj nijaki;Kašnjenje je bilo dva sata.;Opóźnienie było dwie godziny.;NO;;HR_0501_1000 noun transportation
564;peron;peron;noun;rodzaj męski;Vlak stiže na drugi peron.;Pociąg przyjeżdża na drugi peron.;NO;;HR_0501_1000 noun transportation
565;przystanek;stanica;noun;rodzaj żeński - też: postaja;Izlazim na sljedećoj stanici.;Wysiadam na następnym przystanku.;NO;;HR_0501_1000 noun transportation
566;taksówka;taksi;noun;rodzaj męski;Uzet ćemo taksi do hotela.;Weźmiemy taksówkę do hotelu.;NO;;HR_0501_1000 noun transportation
567;rower;bicikl;noun;rodzaj męski - mn. bicikli;Idem biciklom na posao.;Jadę rowerem do pracy.;NO;;HR_0501_1000 noun transportation
568;benzyna;benzin;noun;rodzaj męski;Benzin je opet poskupio.;Benzyna znowu podrożała.;NO;;HR_0501_1000 noun transportation
569;parking;parkiralište;noun;rodzaj nijaki - nie parking;Parkiralište je puno.;Parking jest pełny.;NO;;HR_0501_1000 noun transportation
570;autostrada;autocesta;noun;rodzaj żeński - nie autoput;Autocestom je brže.;Autostradą jest szybciej.;NO;;HR_0501_1000 noun transportation
571;droga (jezdnia);cesta;noun;rodzaj żeński;Cesta je uska i zavojita.;Droga jest wąska i kręta.;NO;;HR_0501_1000 noun transportation
572;korek (uliczny);zastoj;noun;rodzaj męski - też: gužva;Bio je zastoj na ulazu u grad.;Był korek na wjeździe do miasta.;NO;;HR_0501_1000 noun transportation
573;wypadek;nesreća;noun;rodzaj żeński - znaczy też nieszczęście;Bila je nesreća na cesti.;Był wypadek na drodze.;NO;;HR_0501_1000 noun transportation
574;kierunek;smjer;noun;rodzaj męski - mn. smjerovi;Idemo u pogrešnom smjeru.;Idziemy w złym kierunku.;NO;;HR_0501_1000 noun travel
575;mapa;karta;noun;rodzaj żeński - też: zemljovid;Pogledaj na karti gdje smo.;Popatrz na mapie gdzie jesteśmy.;NO;;HR_0501_1000 noun travel
576;odległość;udaljenost;noun;rodzaj żeński - gen. udaljenosti;Udaljenost je oko sto kilometara.;Odległość to około sto kilometrów.;NO;;HR_0501_1000 noun travel
577;kilometr;kilometar;noun;rodzaj męski - gen. kilometra;Do plaže je pola kilometra.;Do plaży jest pół kilometra.;NO;;HR_0501_1000 noun numbers
578;metr;metar;noun;rodzaj męski - gen. metra;Soba ima dvadeset kvadrata.;Pokój ma dwadzieścia metrów.;NO;;HR_0501_1000 noun numbers
579;prędkość;brzina;noun;rodzaj żeński;Vozio je preveliku brzinu.;Jechał ze zbyt dużą prędkością.;NO;;HR_0501_1000 noun transportation
580;mandat;kazna;noun;rodzaj żeński - znaczy też kara;Dobio je kaznu za parkiranje.;Dostał mandat za parkowanie.;NO;;HR_0501_1000 noun transportation
581;bezpieczny;siguran;adjective;ž. sigurna;Ovaj kvart je siguran.;Ta dzielnica jest bezpieczna.;NO;;HR_0501_1000 adjective
582;niebezpieczny;opasan;adjective;ž. opasna;Ovdje je plivanje opasno.;Pływanie tutaj jest niebezpieczne.;NO;;HR_0501_1000 adjective
583;dzielnica;kvart;noun;rodzaj męski - oficjalnie: gradska četvrt;Živim u mirnom kvartu.;Mieszkam w spokojnej dzielnicy.;NO;;HR_0501_1000 noun home
584;centrum;centar;noun;rodzaj męski - gen. centra;Idem u centar na kavu.;Idę do centrum na kawę.;NO;;HR_0501_1000 noun travel
585;budynek;zgrada;noun;rodzaj żeński;Zgrada je nedavno obnovljena.;Budynek niedawno odnowiono.;NO;;HR_0501_1000 noun home
586;dach;krov;noun;rodzaj męski - mn. krovovi;Krov prokišnjava.;Dach przecieka.;NO;;HR_0501_1000 noun home
587;ściana;zid;noun;rodzaj męski - mn. zidovi;Zid treba obojiti.;Ścianę trzeba pomalować.;NO;;HR_0501_1000 noun home
588;podłoga;pod;noun;rodzaj męski - mn. podovi;Pod je od drveta.;Podłoga jest z drewna.;NO;;HR_0501_1000 noun home
589;meble;pokućstvo;noun;częściej: namještaj - rodzaj męski;Namještaj je star ali dobar.;Meble są stare ale dobre.;NO;;HR_0501_1000 noun home
590;lodówka;hladnjak;noun;rodzaj męski - też: frižider;Hladnjak je gotovo prazan.;Lodówka jest prawie pusta.;NO;;HR_0501_1000 noun home
591;kuchenka;štednjak;noun;rodzaj męski;Štednjak se pokvario.;Kuchenka się zepsuła.;NO;;HR_0501_1000 noun home
592;pralka;perilica;noun;rodzaj żeński - perilica za rublje;Perilica radi već dva sata.;Pralka pracuje już dwie godziny.;NO;;HR_0501_1000 noun home
593;ręcznik;ručnik;noun;rodzaj męski - mn. ručnici;Uzmi čist ručnik iz ormara.;Weź czysty ręcznik z szafy.;NO;;HR_0501_1000 noun home
594;szafa;ormar;noun;rodzaj męski - mn. ormari;Ormar je pun stare odjeće.;Szafa jest pełna starych ubrań.;NO;;HR_0501_1000 noun home
595;lustro;zrcalo;noun;rodzaj nijaki - też: ogledalo;Zrcalo je iznad umivaonika.;Lustro jest nad umywalką.;NO;;HR_0501_1000 noun home
596;łóżko dwuosobowe;dvostruki krevet;phrase;też: francuski ležaj;Soba ima dvostruki krevet.;Pokój ma łóżko dwuosobowe.;NO;;HR_0501_1000 travel home
597;poduszka;jastuk;noun;rodzaj męski - mn. jastuci;Jastuk je previsok.;Poduszka jest za wysoka.;NO;;HR_0501_1000 noun home
598;koc;deka;noun;rodzaj żeński - też: pokrivač;Trebam još jednu deku.;Potrzebuję jeszcze jednego koca.;NO;;HR_0501_1000 noun home
599;klimatyzacja;klima;noun;rodzaj żeński - klima uređaj;Klima ne radi u sobi.;Klimatyzacja nie działa w pokoju.;NO;;HR_0501_1000 noun travel home
600;ogrzewanie;grijanje;noun;rodzaj nijaki;Grijanje je preslabo.;Ogrzewanie jest za słabe.;NO;;HR_0501_1000 noun home
601;gotować;kuhati;verb;1. os.: kuham - nie kuvati;Kuham večeru za sve.;Gotuję kolację dla wszystkich.;NO;;HR_0501_1000 verb food
602;piec (w piekarniku);peći;verb;1. os.: pečem;Pečem kruh svake subote.;Piekę chleb w każdą sobotę.;NO;;HR_0501_1000 verb food
603;kroić;rezati;verb;1. os.: režem;Reži kruh na tanke šnite.;Krój chleb na cienkie kromki.;NO;;HR_0501_1000 verb food
604;smakować;imati dobar ukus;phrase;częściej: biti dobro;Ovo je stvarno dobro.;To naprawdę dobrze smakuje.;NO;;HR_0501_1000 food conversation
605;smak;ukus;noun;rodzaj męski - znaczy też gust;Ukus je previše sladak.;Smak jest za słodki.;NO;;HR_0501_1000 noun food
606;słodki;sladak;adjective;ž. slatka;Vino je previše slatko.;Wino jest za słodkie.;NO;;HR_0501_1000 adjective food
607;słony;slan;adjective;ž. slana;Riba je bila preslana.;Ryba była za słona.;NO;;HR_0501_1000 adjective food
608;kwaśny;kiseo;adjective;ž. kisela;Ova jabuka je kisela.;To jabłko jest kwaśne.;NO;;HR_0501_1000 adjective food
609;ostry (pikantny);ljut;adjective;ž. ljuta - znaczy też zły;Umak je previše ljut.;Sos jest za ostry.;YES;ljut znaczy pikantny lub wściekły - nie ostry jak nóż;HR_0501_1000 adjective food
610;makaron;tjestenina;noun;rodzaj żeński - potocznie pasta;Tjestenina je gotova za deset minuta.;Makaron będzie gotowy za dziesięć minut.;NO;;HR_0501_1000 noun food
611;ryż;riža;noun;rodzaj żeński;Riža je uz ribu odlična.;Ryż jest do ryby znakomity.;NO;;HR_0501_1000 noun food
612;fasola;grah;noun;rodzaj męski;Grah kuham cijelo jutro.;Fasolę gotuję całe rano.;NO;;HR_0501_1000 noun food
613;marchewka;mrkva;noun;rodzaj żeński;Naribaj mrkvu za salatu.;Zetrzyj marchewkę do salaty.;NO;;HR_0501_1000 noun food
614;cebula;luk;noun;rodzaj męski - crveni luk cebula;Luk mi uvijek smeta u salati.;Cebula zawsze mi przeszkadza w salacie.;YES;luk znaczy cebula a nie łuk;HR_0501_1000 noun food
615;czosnek;češnjak;noun;rodzaj męski - nie beli luk;Dodaj dva režnja češnjaka.;Dodaj dwa ząbki czosnku.;NO;;HR_0501_1000 noun food
616;masło;maslac;noun;rodzaj męski - gen. maslaca;Namaži kruh maslacem.;Posmaruj chleb masłem.;NO;;HR_0501_1000 noun food
617;oliwa;maslinovo ulje;noun;rodzaj nijaki;Kupujemo maslinovo ulje s otoka.;Kupujemy oliwę z wyspy.;NO;;HR_0501_1000 noun food
618;jogurt;jogurt;noun;rodzaj męski;Za doručak jedem jogurt.;Na śniadanie jem jogurt.;NO;;HR_0501_1000 noun food
619;ciasto (wypiek);kolač;noun;rodzaj męski - mn. kolači;Baka je ispekla kolač.;Babcia upiekła ciasto.;NO;;HR_0501_1000 noun food
620;lody;sladoled;noun;rodzaj męski - sing. w chorwackim;Idemo na sladoled.;Idziemy na lody.;NO;;HR_0501_1000 noun food
621;szklanka;čaša;noun;rodzaj żeński - znaczy też kieliszek;Donesi mi čašu vode.;Przynieś mi szklankę wody.;NO;;HR_0501_1000 noun food home
622;filiżanka;šalica;noun;rodzaj żeński - nie šolja;Popio je tri šalice kave.;Wypił trzy filiżanki kawy.;NO;;HR_0501_1000 noun food
623;talerz;tanjur;noun;rodzaj męski - nie tanjir;Tanjur je još prljav.;Talerz jest jeszcze brudny.;NO;;HR_0501_1000 noun home food
624;widelec;vilica;noun;rodzaj żeński - znaczy też szczęka;Nemam vilicu na stolu.;Nie mam widelca na stole.;NO;;HR_0501_1000 noun food
625;nóż;nož;noun;rodzaj męski - mn. noževi;Ovaj nož ne reže dobro.;Ten nóż nie kroi dobrze.;NO;;HR_0501_1000 noun food home
626;łyżka;žlica;noun;rodzaj żeński - nie kašika;Dodaj žlicu šećera.;Dodaj łyżkę cukru.;NO;;HR_0501_1000 noun food
627;butelka;boca;noun;rodzaj żeński - nie flaša;Otvori bocu vina.;Otwórz butelkę wina.;NO;;HR_0501_1000 noun food
628;menu;jelovnik;noun;rodzaj męski - nie meni;Možemo li dobiti jelovnik?;Możemy dostać menu?;NO;;HR_0501_1000 noun food
629;danie;jelo;noun;rodzaj nijaki - mn. jela;Ovo jelo je specijalitet kuće.;To danie jest specjalnością domu.;NO;;HR_0501_1000 noun food
630;przystawka;predjelo;noun;rodzaj nijaki;Za predjelo uzimamo pršut.;Na przystawkę bierzemy szynkę.;NO;;HR_0501_1000 noun food
631;deser;desert;noun;rodzaj męski - też: slastica;Za desert ima palačinke.;Na deser są naleśniki.;NO;;HR_0501_1000 noun food
632;kelnerka;konobarica;noun;rodzaj żeński;Konobarica je bila brza.;Kelnerka była szybka.;NO;;HR_0501_1000 noun food work
633;napiwek;napojnica;noun;rodzaj żeński;Ostavio sam napojnicu.;Zostawiłem napiwek.;NO;;HR_0501_1000 noun food
634;jeść na mieście;jesti u gradu;phrase;;Danas jedemo u gradu.;Dzisiaj jemy na mieście.;NO;;HR_0501_1000 food conversation
635;głód;glad;noun;rodzaj żeński - gen. gladi;Od gladi ne mogu misliti.;Z głodu nie mogę myśleć.;NO;;HR_0501_1000 noun food
636;pragnienie;žeđ;noun;rodzaj żeński - gen. žeđi;Umirem od žeđi.;Umieram z pragnienia.;NO;;HR_0501_1000 noun food
637;sen (nocny);san;noun;rodzaj męski - gen. sna - znaczy też marzenie;Nisam imao dobar san.;Nie miałem dobrego snu.;NO;;HR_0501_1000 noun
638;zmęczenie;umor;noun;rodzaj męski;Umor se skupio kroz tjedan.;Zmęczenie zebrało się przez tydzień.;NO;;HR_0501_1000 noun emotions
639;odpoczywać;odmarati se;verb;1. os.: odmaram se - povratni;Odmaram se nakon posla.;Odpoczywam po pracy.;NO;;HR_0501_1000 verb
640;budzić się;buditi se;verb;1. os.: budim se;Budim se prije alarma.;Budzę się przed budzikiem.;NO;;HR_0501_1000 verb time
641;myć się;prati se;verb;1. os.: perem se;Perem ruke prije jela.;Myję ręce przed jedzeniem.;NO;;HR_0501_1000 verb home
642;ubierać się;odjenuti se;verb;1. os.: odjenem se - potocznie obući se;Obuci se toplije.;Ubierz się cieplej.;NO;;HR_0501_1000 verb
643;sprzątać;čistiti;verb;1. os.: čistim;Čistim stan svaki tjedan.;Sprzątam mieszkanie co tydzień.;NO;;HR_0501_1000 verb home
644;prać;prati;verb;1. os.: perem;Perem rublje nedjeljom.;Piorę w niedziele.;NO;;HR_0501_1000 verb home
645;naprawiać;popraviti;verb;1. os.: popravim;Popravio je perilicu sam.;Naprawił pralkę sam.;NO;;HR_0501_1000 verb home
646;psuć się;pokvariti se;verb;1. os.: pokvari se;Auto mi se pokvario na cesti.;Samochód zepsuł mi się na drodze.;NO;;HR_0501_1000 verb transportation
647;działać (funkcjonować);raditi;verb;1. os.: radi - o urządzeniu;Wi-Fi ne radi.;Wi-Fi nie działa.;NO;;HR_0501_1000 verb
648;włączać;uključiti;verb;1. os.: uključim;Uključi klimu molim te.;Włącz klimatyzację proszę.;NO;;HR_0501_1000 verb home
649;wyłączać;isključiti;verb;1. os.: isključim;Isključi svjetlo prije spavanja.;Wyłącz światło przed snem.;NO;;HR_0501_1000 verb home
650;dzwonek do drzwi;zvono;noun;rodzaj nijaki;Zvono je zvonilo dva puta.;Dzwonek zadzwonił dwa razy.;NO;;HR_0501_1000 noun home
651;pukać;kucati;verb;1. os.: kucam;Netko kuca na vrata.;Ktoś stuka do drzwi.;NO;;HR_0501_1000 verb home
652;zapraszać;pozvati;verb;1. os.: pozovem;Pozvali su nas na večeru.;Zaprosili nas na kolację.;NO;;HR_0501_1000 verb people
653;odwiedzać;posjetiti;verb;1. os.: posjetim;Posjetit ću ih u srijedu.;Odwiedzę ich w środę.;NO;;HR_0501_1000 verb people
654;pozdrawiać;pozdraviti;verb;1. os.: pozdravim;Pozdravi mi ženu.;Pozdrów mi żonę.;NO;;HR_0501_1000 verb conversation
655;żartować;šaliti se;verb;1. os.: šalim se;Šalim se ne brini.;Żartuję nie martw się.;NO;;HR_0501_1000 verb conversation
656;żart;šala;noun;rodzaj żeński;To je bila samo šala.;To był tylko żart.;NO;;HR_0501_1000 noun conversation
657;śmiać się;smijati se;verb;1. os.: smijem se - czemu: dat.;Smijali smo se cijelu večer.;Śmialiśmy się cały wieczór.;NO;;HR_0501_1000 verb emotions
658;płakać;plakati;verb;1. os.: plačem;Dijete plače od jutra.;Dziecko płacze od rana.;NO;;HR_0501_1000 verb emotions
659;krzyczeć;vikati;verb;1. os.: vičem;Nemoj vikati na mene.;Nie krzycz na mnie.;NO;;HR_0501_1000 verb emotions
660;milczeć;šutjeti;verb;1. os.: šutim;Bolje šuti o tome.;Lepiej milcz o tym.;NO;;HR_0501_1000 verb conversation
661;dziękować za coś;zahvaliti na;phrase;na + lokativ;Zahvaljujem na pozivu.;Dziękuję za zaproszenie.;NO;;HR_0501_1000 conversation
662;gratulować;čestitati;verb;1. os.: čestitam - komu: dat.;Čestitam ti na uspjehu.;Gratuluję ci sukcesu.;NO;;HR_0501_1000 verb conversation
663;sukces;uspjeh;noun;rodzaj męski - mn. uspjesi;To je bio veliki uspjeh.;To był wielki sukces.;NO;;HR_0501_1000 noun work
664;porażka;neuspjeh;noun;rodzaj męski;Neuspjeh ga je slomio.;Porażka go załamała.;NO;;HR_0501_1000 noun emotions
665;szczęście (fortuna);sreća;noun;rodzaj żeński - znaczy też szczęście emocjonalne;Imali smo sreće s vremenom.;Mieliśmy szczęście z pogodą.;NO;;HR_0501_1000 noun emotions
666;pech;nesreća;noun;rodzaj żeński - znaczy też wypadek;Kakva nesreća s tim ključevima.;Co za pech z tymi kluczami.;NO;;HR_0501_1000 noun emotions
667;złość;ljutnja;noun;rodzaj żeński;Ljutnja mu je brzo prošla.;Złość mu szybko przeszła.;NO;;HR_0501_1000 noun emotions
668;złościć się;ljutiti se;verb;1. os.: ljutim se - na koga: ak.;Ne ljuti se na mene.;Nie złość się na mnie.;NO;;HR_0501_1000 verb emotions
669;martwić się;brinuti se;verb;1. os.: brinem se - za koga;Ne brini se sve je u redu.;Nie martw się wszystko w porządku.;NO;;HR_0501_1000 verb emotions
670;bać się;bojati se;verb;1. os.: bojim se - czego: gen.;Bojim se letjeti.;Boję się latać.;NO;;HR_0501_1000 verb emotions
671;cieszyć się;veseliti se;verb;1. os.: veselim se - czemu: dat.;Veselim se putovanju.;Cieszę się na podróż.;NO;;HR_0501_1000 verb emotions
672;dziwić się;čuditi se;verb;1. os.: čudim se - czemu: dat.;Čudim se da nije zvao.;Dziwię się że nie zadzwonił.;NO;;HR_0501_1000 verb emotions
673;wstydzić się;sramiti se;verb;1. os.: sramim se - czego: gen.;Sramim se svoje reakcije.;Wstydzę się swojej reakcji.;NO;;HR_0501_1000 verb emotions
674;tęsknić;čeznuti;verb;1. os.: čeznem - za kim: instr.;Čeznem za morem.;Tęsknię za morzem.;NO;;HR_0501_1000 verb emotions
675;brakować (komuś czegoś);nedostajati;verb;3. os.: nedostaje - komu: dat.;Nedostaješ mi.;Brakuje mi ciebie.;NO;;HR_0501_1000 verb emotions
676;ufać;vjerovati;verb;1. os.: vjerujem - komu: dat.;Vjerujem ti potpuno.;Ufam ci całkowicie.;NO;;HR_0501_1000 verb emotions
677;wierzyć (mieć wiarę);vjerovati;verb;1. os.: vjerujem - u koga: ak.;Ne vjerujem u sreću.;Nie wierzę w szczęście.;NO;;HR_0501_1000 verb opinions
678;kłamać;lagati;verb;1. os.: lažem;Nemoj mi lagati.;Nie kłam mi.;NO;;HR_0501_1000 verb conversation
679;obiecywać;obećati;verb;1. os.: obećam;Obećao mi je pomoć.;Obiecał mi pomoc.;NO;;HR_0501_1000 verb conversation
680;zgadzać się;složiti se;verb;1. os.: složim se - s kim: instr.;Slažem se s tobom.;Zgadzam się z tobą.;NO;;HR_0501_1000 verb opinions
681;sprzeciwiać się;protiviti se;verb;1. os.: protivim se - czemu: dat.;Protivim se toj odluci.;Sprzeciwiam się tej decyzji.;NO;;HR_0501_1000 verb opinions
682;opinia;mišljenje;noun;rodzaj nijaki;Zanima me tvoje mišljenje.;Interesuje mnie twoja opinia.;NO;;HR_0501_1000 noun opinions
683;moim zdaniem;po mom mišljenju;phrase;;Po mom mišljenju to je greška.;Moim zdaniem to błąd.;NO;;HR_0501_1000 opinions conversation
684;według mnie;prema meni;phrase;częściej: mislim da;Mislim da nije tako.;Według mnie nie jest tak.;NO;;HR_0501_1000 opinions
685;wydawać się;činiti se;verb;3. os.: čini se - komu: dat.;Čini mi se da smo zakasnili.;Wydaje mi się że się spóźniliśmy.;NO;;HR_0501_1000 verb opinions
686;spodziewać się;očekivati;verb;1. os.: očekujem;Očekujem njihov odgovor danas.;Spodziewam się ich odpowiedzi dzisiaj.;NO;;HR_0501_1000 verb work
687;zauważać;primijetiti;verb;1. os.: primijetim;Nisam primijetio da si došao.;Nie zauważyłem że przyszedłeś.;NO;;HR_0501_1000 verb
688;pamiętać (przypominać sobie);sjećati se;verb;1. os.: sjećam se - czego: gen.;Sjećaš li se onog ljeta?;Pamiętasz to lato?;NO;;HR_0501_1000 verb
689;przypominać komuś;podsjetiti;verb;1. os.: podsjetim - koga na što;Podsjeti me na sastanak.;Przypomnij mi o spotkaniu.;NO;;HR_0501_1000 verb work
690;rozumieć się (dogadywać);razumjeti se;verb;1. os.: razumijem se - s kim;Dobro se razumijemo.;Dobrze się rozumiemy.;NO;;HR_0501_1000 verb people
691;spieszyć się;žuriti;verb;1. os.: žurim;Žurim na vlak.;Spieszę się na pociąg.;NO;;HR_0501_1000 verb time
692;spóźniać się;kasniti;verb;1. os.: kasnim;Kasnim pet minuta.;Spóźniam się pięć minut.;NO;;HR_0501_1000 verb time
693;zdążyć;stići;verb;1. os.: stignem;Nisam stigao poslati mail.;Nie zdążyłem wysłać maila.;NO;;HR_0501_1000 verb work time
694;czekać na kogoś;čekati koga;phrase;+ akuzativ;Čekamo Ivanu pola sata.;Czekamy na Ivanę pół godziny.;NO;;HR_0501_1000 conversation
695;umawiać się;dogovoriti se;verb;1. os.: dogovorim se;Dogovorili smo se za petak.;Umówiliśmy się na piątek.;NO;;HR_0501_1000 verb conversation work
696;odwoływać;otkazati;verb;1. os.: otkažem;Morali smo otkazati sastanak.;Musieliśmy odwołać spotkanie.;NO;;HR_0501_1000 verb work
697;przesuwać (termin);pomaknuti;verb;1. os.: pomaknem;Pomaknimo to za sutra.;Przesuńmy to na jutro.;NO;;HR_0501_1000 verb work
698;potwierdzać;potvrditi;verb;1. os.: potvrdim;Potvrdi mi rezervaciju mailom.;Potwierdź mi rezerwację mailem.;NO;;HR_0501_1000 verb work travel
699;odmawiać;odbiti;verb;1. os.: odbijem;Odbio je našu ponudu.;Odrzucił naszą ofertę.;NO;;HR_0501_1000 verb work
700;proponować;predložiti;verb;1. os.: predložim;Predlažem da krenemo ranije.;Proponuję żebyśmy ruszyli wcześniej.;NO;;HR_0501_1000 verb work conversation
701;oferta;ponuda;noun;rodzaj żeński;Ponuda vrijedi do petka.;Oferta jest ważna do piątku.;NO;;HR_0501_1000 noun work
702;cel;cilj;noun;rodzaj męski - mn. ciljevi;Cilj nam je jasan.;Cel mamy jasny.;NO;;HR_0501_1000 noun work
703;zadowolony;zadovoljan;adjective;ž. zadovoljna - czym: instr.;Zadovoljan sam rezultatom.;Jestem zadowolony z wyniku.;NO;;HR_0501_1000 adjective emotions
704;niezadowolony;nezadovoljan;adjective;ž. nezadovoljna;Klijent je nezadovoljan rokom.;Klient jest niezadowolony z terminu.;NO;;HR_0501_1000 adjective work
705;termin;rok;noun;rodzaj męski - mn. rokovi;Rok je sljedeći tjedan.;Termin jest w następnym tygodniu.;YES;rok znaczy termin a nie rok - rok to godina;HR_0501_1000 noun work time
706;spóźnienie w pracy;kašnjenje s rokom;phrase;;Imamo kašnjenje s rokom.;Mamy opóźnienie z terminem.;NO;;HR_0501_1000 work
707;raport;izvještaj;noun;rodzaj męski - też: izvješće;Izvještaj mora biti gotov danas.;Raport musi być gotowy dzisiaj.;NO;;HR_0501_1000 noun work
708;dane;podaci;noun;rodzaj męski mn. - sing. podatak;Podaci nisu točni.;Dane nie są dokładne.;NO;;HR_0501_1000 noun work
709;informacja;informacija;noun;rodzaj żeński;Trebam još jednu informaciju.;Potrzebuję jeszcze jednej informacji.;NO;;HR_0501_1000 noun work
710;szczegół;detalj;noun;rodzaj męski - mn. detalji;Objasnit ću ti detalje kasnije.;Wyjaśnię ci szczegóły później.;NO;;HR_0501_1000 noun work
711;lista;popis;noun;rodzaj męski - też: lista;Napravi popis za trgovinu.;Zrób listę do sklepu.;NO;;HR_0501_1000 noun shopping work
712;strona (kartka);stranica;noun;rodzaj żeński - też strona internetowa;Pročitaj drugu stranicu.;Przeczytaj drugą stronę.;NO;;HR_0501_1000 noun media
713;tekst;tekst;noun;rodzaj męski - mn. tekstovi;Tekst je predugačak.;Tekst jest za długi.;NO;;HR_0501_1000 noun media
714;list;pismo;noun;rodzaj nijaki - mn. pisma;Dobio sam pismo iz banke.;Dostałem list z banku.;YES;pismo znaczy list a nie pismo odręczne;HR_0501_1000 noun
715;podpis;potpis;noun;rodzaj męski;Trebam tvoj potpis ovdje.;Potrzebuję twojego podpisu tutaj.;NO;;HR_0501_1000 noun work
716;podpisywać;potpisati;verb;1. os.: potpišem;Potpiši na dnu stranice.;Podpisz na dole strony.;NO;;HR_0501_1000 verb work
717;wypełniać (formularz);ispuniti;verb;1. os.: ispunim;Ispuni obrazac na internetu.;Wypełnij formularz w internecie.;NO;;HR_0501_1000 verb work
718;formularz;obrazac;noun;rodzaj męski - gen. obrasca;Obrazac je na dvije stranice.;Formularz jest na dwie strony.;NO;;HR_0501_1000 noun work
719;wniosek (podanie);zahtjev;noun;rodzaj męski - mn. zahtjevi;Predao sam zahtjev u ponedjeljak.;Złożyłem wniosek w poniedziałek.;NO;;HR_0501_1000 noun work
720;pozwolenie;dozvola;noun;rodzaj żeński;Trebaš dozvolu za to.;Potrzebujesz na to pozwolenia.;NO;;HR_0501_1000 noun work
721;pozwalać;dopustiti;verb;1. os.: dopustim;Ne dopuštaju psima ulaz.;Nie pozwalają psom wchodzić.;NO;;HR_0501_1000 verb
722;zabraniać;zabraniti;verb;1. os.: zabranim;Zabranjeno je parkirati ovdje.;Zabronione jest parkowanie tutaj.;NO;;HR_0501_1000 verb transportation
723;musieć (być koniecznym);trebati;verb;3. os.: treba - treba ići;Treba ići ranije.;Trzeba iść wcześniej.;NO;;HR_0501_1000 verb
724;wolno (można);smjeti;verb;1. os.: smijem;Smijem li ući?;Wolno mi wejść?;NO;;HR_0501_1000 verb
725;udawać się (powodzić);uspjeti;verb;1. os.: uspijem;Uspio sam sve završiti.;Udało mi się wszystko skończyć.;NO;;HR_0501_1000 verb work
726;próba;pokušaj;noun;rodzaj męski - mn. pokušaji;Uspjelo je iz prvog pokušaja.;Udało się z pierwszej próby.;NO;;HR_0501_1000 noun
727;wysiłek;trud;noun;rodzaj męski;Hvala na trudu.;Dziękuję za trud.;NO;;HR_0501_1000 noun work
728;praca fizyczna;fizički rad;phrase;;Fizički rad ga je iscrpio.;Praca fizyczna go wyczerpała.;NO;;HR_0501_1000 work
729;odpoczynek;odmor;noun;rodzaj męski - znaczy też urlop;Trebam kratak odmor.;Potrzebuję krótkiego odpoczynku.;NO;;HR_0501_1000 noun
730;wolny czas;slobodno vrijeme;noun;rodzaj nijaki;U slobodno vrijeme plivam.;W wolnym czasie pływam.;NO;;HR_0501_1000 noun time
731;sport;sport;noun;rodzaj męski - mn. sportovi;Sport mi pomaže protiv stresa.;Sport pomaga mi przeciw stresowi.;NO;;HR_0501_1000 noun
732;piłka nożna;nogomet;noun;rodzaj męski - nie fudbal;Nogomet gledam u kafiću.;Piłkę nożną oglądam w barze.;NO;;HR_0501_1000 noun
733;mecz;utakmica;noun;rodzaj żeński - nie meč;Utakmica počinje u devet.;Mecz zaczyna się o dziewiątej.;NO;;HR_0501_1000 noun
734;grać (w grę);igrati;verb;1. os.: igram;Igramo karte svaki petak.;Gramy w karty w każdy piątek.;NO;;HR_0501_1000 verb
735;wygrywać;pobijediti;verb;1. os.: pobijedim;Pobijedili su dva nula.;Wygrali dwa zero.;NO;;HR_0501_1000 verb
736;przegrywać;izgubiti;verb;1. os.: izgubim - znaczy też zgubić;Izgubili smo u zadnjoj minuti.;Przegraliśmy w ostatniej minucie.;NO;;HR_0501_1000 verb
737;pływać;plivati;verb;1. os.: plivam;Plivam svako jutro u moru.;Pływam każdego ranka w morzu.;NO;;HR_0501_1000 verb travel
